bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
308,12,-0.00032093672392834866,-0.0056813868356524215,structural_group,case_stratified,8675310
309,12,-0.0031230166786271746,-0.07155910245534701,structural_group,case_stratified,8675310
310,12,-0.0006418734478566973,-0.11686520246821142,structural_group,case_stratified,8675310
311,12,-0.00032093672392834866,-0.11147822049639111,structural_group,case_stratified,8675310
312,12,-0.00032093672392834866,-0.010553938569814883,structural_group,case_stratified,8675310
313,12,0.0,-0.011010420047466093,structural_group,case_stratified,8675310
314,12,-0.0031230166786271746,-0.07285622592976489,structural_group,case_stratified,8675310
315,12,0.0,-0.11332779392065144,structural_group,case_stratified,8675310
316,12,-0.006246033357254349,-0.12314753414727507,structural_group,case_stratified,8675310
317,12,-0.0034439534025555232,-0.11580299792185049,structural_group,case_stratified,8675310
318,12,-0.006246033357254349,-0.06727345065380853,structural_group,case_stratified,8675310
319,12,-0.0006418734478566973,-0.06744598305543331,structural_group,case_stratified,8675310
320,12,0.0,-0.011797572590244708,structural_group,case_stratified,8675310
321,12,-0.008461049547044103,-0.17184599817012733,structural_group,case_stratified,8675310
322,12,-0.0034439534025555232,-0.06186320777947696,structural_group,case_stratified,8675310
323,12,0.0,-0.05585557927666072,structural_group,case_stratified,8675310
324,12,-0.03190181503291841,-0.12612637428546786,structural_group,case_stratified,8675310
325,12,-0.00032093672392834866,-0.00755487839456236,structural_group,case_stratified,8675310
326,12,-0.0034439534025555232,-0.06175622887150084,structural_group,case_stratified,8675310
327,12,-0.0034439534025555232,-0.06163111338175076,structural_group,case_stratified,8675310
328,12,-0.006246033357254349,-0.018289402779242007,structural_group,case_stratified,8675310
329,12,0.0,-0.11652612916250911,structural_group,case_stratified,8675310
330,12,-0.010676065736833856,-0.11955140726281781,structural_group,case_stratified,8675310
331,12,-0.021288940384876134,-0.07036710677809666,structural_group,case_stratified,8675310
332,12,-0.00032093672392834866,-0.008742647110271323,structural_group,case_stratified,8675310
333,12,-0.008461049547044103,-0.018539080516972287,structural_group,case_stratified,8675310
334,12,0.0,-0.004017469847002383,structural_group,case_stratified,8675310
335,12,-0.0006418734478566973,-0.009869089293873026,structural_group,case_stratified,8675310
336,12,-0.008461049547044103,-0.07379938752848911,structural_group,case_stratified,8675310
337,12,-0.06899179416040663,-0.24056756241606178,structural_group,case_stratified,8675310
338,12,-0.0006418734478566973,-0.11461522920614153,structural_group,case_stratified,8675310
339,12,-0.005338032868416928,-0.07063114834589408,structural_group,case_stratified,8675310
340,12,-0.006246033357254349,-0.07273435845179742,structural_group,case_stratified,8675310
341,12,-0.008461049547044103,-0.0639754203403241,structural_group,case_stratified,8675310
342,12,-0.008461049547044103,-0.07250226405407123,structural_group,case_stratified,8675310
343,12,0.0,-0.06066640949910975,structural_group,case_stratified,8675310
