bootstrap_sample,instance_count,median_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_seed
2193,15,-0.2659696180787886,instance,8675309
2194,15,-0.2659696180787886,instance,8675309
2195,15,-0.2673352773955874,instance,8675309
2196,15,-0.2659696180787886,instance,8675309
2197,15,-0.22946696899122998,instance,8675309
2198,15,-0.2659696180787886,instance,8675309
2199,15,-0.2977248373379707,instance,8675309
2200,15,-0.2659696180787886,instance,8675309
2201,15,-0.2673352773955874,instance,8675309
2202,15,-0.2659696180787886,instance,8675309
2203,15,-0.127918925273331,instance,8675309
2204,15,-0.22946696899122998,instance,8675309
2205,15,-0.2977248373379707,instance,8675309
2206,15,-0.2859756630598773,instance,8675309
2207,15,-0.2659696180787886,instance,8675309
2208,15,-0.2977248373379707,instance,8675309
2209,15,-0.2659696180787886,instance,8675309
2210,15,-0.22946696899122998,instance,8675309
2211,15,-0.2673352773955874,instance,8675309
2212,15,-0.17884318399519528,instance,8675309
2213,15,-0.22946696899122998,instance,8675309
2214,15,-0.3156277947922177,instance,8675309
2215,15,-0.2977248373379707,instance,8675309
2216,15,-0.2977248373379707,instance,8675309
2217,15,-0.2859756630598773,instance,8675309
2218,15,-0.1515999042352149,instance,8675309
2219,15,-0.2673352773955874,instance,8675309
2220,15,-0.2659696180787886,instance,8675309
2221,15,-0.2659696180787886,instance,8675309
2222,15,-0.2859756630598773,instance,8675309
2223,15,-0.2673352773955874,instance,8675309
2224,15,-0.2859756630598773,instance,8675309
2225,15,-0.2859756630598773,instance,8675309
2226,15,-0.2859756630598773,instance,8675309
2227,15,-0.17884318399519528,instance,8675309
2228,15,-0.2659696180787886,instance,8675309
2229,15,-0.2859756630598773,instance,8675309
2230,15,-0.1515999042352149,instance,8675309
2231,15,-0.22946696899122998,instance,8675309
2232,15,-0.22946696899122998,instance,8675309
2233,15,-0.22946696899122998,instance,8675309
2234,15,-0.2977248373379707,instance,8675309
2235,15,-0.2977248373379707,instance,8675309
2236,15,-0.22946696899122998,instance,8675309
2237,15,-0.2659696180787886,instance,8675309
2238,15,-0.1515999042352149,instance,8675309
2239,15,-0.2659696180787886,instance,8675309
2240,15,-0.22946696899122998,instance,8675309
2241,15,-0.2659696180787886,instance,8675309
2242,15,-0.2859756630598773,instance,8675309
2243,15,-0.2859756630598773,instance,8675309
2244,15,-0.2859756630598773,instance,8675309
2245,15,-0.2659696180787886,instance,8675309
2246,15,-0.2859756630598773,instance,8675309
2247,15,-0.17884318399519528,instance,8675309
2248,15,-0.2977248373379707,instance,8675309
2249,15,-0.2659696180787886,instance,8675309
2250,15,-0.2977248373379707,instance,8675309
2251,15,-0.2659696180787886,instance,8675309
2252,15,-0.17884318399519528,instance,8675309
2253,15,-0.2859756630598773,instance,8675309
2254,15,-0.2659696180787886,instance,8675309
2255,15,-0.22946696899122998,instance,8675309
2256,15,-0.2673352773955874,instance,8675309
2257,15,-0.2659696180787886,instance,8675309
2258,15,-0.2659696180787886,instance,8675309
2259,15,-0.17884318399519528,instance,8675309
2260,15,-0.2859756630598773,instance,8675309
2261,15,-0.17884318399519528,instance,8675309
2262,15,-0.2659696180787886,instance,8675309
2263,15,-0.17884318399519528,instance,8675309
2264,15,-0.1515999042352149,instance,8675309
2265,15,-0.22946696899122998,instance,8675309
2266,15,-0.2859756630598773,instance,8675309
2267,15,-0.2859756630598773,instance,8675309
2268,15,-0.2977248373379707,instance,8675309
2269,15,-0.2977248373379707,instance,8675309
2270,15,-0.2859756630598773,instance,8675309
2271,15,-0.17884318399519528,instance,8675309
2272,15,-0.2673352773955874,instance,8675309
2273,15,-0.22946696899122998,instance,8675309
2274,15,-0.2977248373379707,instance,8675309
2275,15,-0.2673352773955874,instance,8675309
2276,15,-0.2659696180787886,instance,8675309
2277,15,-0.22946696899122998,instance,8675309
2278,15,-0.17884318399519528,instance,8675309
2279,15,-0.2659696180787886,instance,8675309
2280,15,-0.1515999042352149,instance,8675309
2281,15,-0.2659696180787886,instance,8675309
2282,15,-0.1515999042352149,instance,8675309
2283,15,-0.3156277947922177,instance,8675309
2284,15,-0.17884318399519528,instance,8675309
2285,15,-0.2859756630598773,instance,8675309
2286,15,-0.2659696180787886,instance,8675309
2287,15,-0.2659696180787886,instance,8675309
2288,15,-0.2673352773955874,instance,8675309
2289,15,-0.17884318399519528,instance,8675309
2290,15,-0.3156277947922177,instance,8675309
2291,15,-0.2673352773955874,instance,8675309
2292,15,-0.2673352773955874,instance,8675309
2293,15,-0.2977248373379707,instance,8675309
2294,15,-0.2673352773955874,instance,8675309
2295,15,-0.2659696180787886,instance,8675309
2296,15,-0.2659696180787886,instance,8675309
2297,15,-0.2659696180787886,instance,8675309
2298,15,-0.22946696899122998,instance,8675309
2299,15,-0.2659696180787886,instance,8675309
2300,15,-0.17884318399519528,instance,8675309
2301,15,-0.2659696180787886,instance,8675309
2302,15,-0.3156277947922177,instance,8675309
2303,15,-0.2977248373379707,instance,8675309
2304,15,-0.2977248373379707,instance,8675309
2305,15,-0.17884318399519528,instance,8675309
2306,15,-0.2659696180787886,instance,8675309
2307,15,-0.2673352773955874,instance,8675309
2308,15,-0.3156277947922177,instance,8675309
2309,15,-0.2673352773955874,instance,8675309
2310,15,-0.22946696899122998,instance,8675309
2311,15,-0.2673352773955874,instance,8675309
2312,15,-0.2673352773955874,instance,8675309
2313,15,-0.1515999042352149,instance,8675309
2314,15,-0.2673352773955874,instance,8675309
2315,15,-0.22946696899122998,instance,8675309
2316,15,-0.2977248373379707,instance,8675309
2317,15,-0.2659696180787886,instance,8675309
2318,15,-0.2659696180787886,instance,8675309
2319,15,-0.2659696180787886,instance,8675309
2320,15,-0.2659696180787886,instance,8675309
2321,15,-0.2673352773955874,instance,8675309
2322,15,-0.127918925273331,instance,8675309
2323,15,-0.2673352773955874,instance,8675309
2324,15,-0.2659696180787886,instance,8675309
2325,15,-0.1515999042352149,instance,8675309
2326,15,-0.1515999042352149,instance,8675309
2327,15,-0.17884318399519528,instance,8675309
2328,15,-0.2673352773955874,instance,8675309
2329,15,-0.2977248373379707,instance,8675309
2330,15,-0.2673352773955874,instance,8675309
2331,15,-0.3156277947922177,instance,8675309
2332,15,-0.1515999042352149,instance,8675309
2333,15,-0.22946696899122998,instance,8675309
2334,15,-0.2673352773955874,instance,8675309
2335,15,-0.1515999042352149,instance,8675309
2336,15,-0.22946696899122998,instance,8675309
2337,15,-0.17884318399519528,instance,8675309
2338,15,-0.2659696180787886,instance,8675309
2339,15,-0.2977248373379707,instance,8675309
2340,15,-0.2659696180787886,instance,8675309
2341,15,-0.2659696180787886,instance,8675309
2342,15,-0.2859756630598773,instance,8675309
2343,15,-0.2659696180787886,instance,8675309
2344,15,-0.2673352773955874,instance,8675309
2345,15,-0.22946696899122998,instance,8675309
2346,15,-0.2859756630598773,instance,8675309
2347,15,-0.2659696180787886,instance,8675309
2348,15,-0.1515999042352149,instance,8675309
2349,15,-0.127918925273331,instance,8675309
2350,15,-0.22946696899122998,instance,8675309
2351,15,-0.2673352773955874,instance,8675309
2352,15,-0.2659696180787886,instance,8675309
2353,15,-0.2659696180787886,instance,8675309
2354,15,-0.17884318399519528,instance,8675309
2355,15,-0.2673352773955874,instance,8675309
