seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,convention_error_vs_encoded,end_to_end_error_vs_target,status
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d31,31,imag,1e-08,2.328666615627394e-15,4.322956365591568e-09,pass
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d255,255,imag,1e-06,1.6711453402225067e-14,2.1133705832871668e-09,pass
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845074,False,False,monomial_x1,1,neg_imag,1e-08,1.1127540804492662e-16,6.943585462002465e-14,pass
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845074,False,False,monomial_x3,3,imag,1e-08,3.4313384117566585e-16,8.3467306865967e-14,pass
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845074,False,False,ridge_filter_d7,7,imag,1e-08,1.529181398004224e-15,1.1253818944824176e-07,pass
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845074,False,False,ridge_filter_d31,31,imag,1e-08,2.4723120724476876e-15,6.0775513940069085e-09,pass
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845074,False,False,ridge_filter_d255,255,imag,1e-06,1.122914220762422e-14,1.8326409319061569e-09,pass
770306,5x3,5,3,3,random_decay,2.0172748922194583,True,False,monomial_x1,1,neg_imag,1e-08,2.626781168061457e-16,6.540685108472129e-14,pass
770306,5x3,5,3,3,random_decay,2.0172748922194583,True,False,monomial_x3,3,imag,1e-08,1.0113554260187714e-15,8.49538557855647e-14,pass
770306,5x3,5,3,3,random_decay,2.0172748922194583,True,False,ridge_filter_d7,7,imag,1e-08,6.503658342767977e-15,1.1032716795651408e-06,pass
770306,5x3,5,3,3,random_decay,2.0172748922194583,True,False,ridge_filter_d31,31,imag,1e-08,3.734944930560919e-15,1.606685589327466e-08,pass
770306,5x3,5,3,3,random_decay,2.0172748922194583,True,False,ridge_filter_d255,255,imag,1e-06,2.990697888737543e-14,9.117785589775702e-09,pass
770400,6x4,6,4,4,well_conditioned,1.1111111111111118,False,False,monomial_x1,1,neg_imag,1e-08,2.9193940231774436e-16,5.295780758043155e-14,pass
